id,year,lustrum,count_by_lustrum,duration_minutes,genre,genre_simplified,word_plot_count,media_sentiment,topics_lustrum_keywords,count_female,count_male,female_presence,female_ratio,female_adj_percentage
0ee386f7-89cf-4f19-aa22-f43d816fbeec,2025,2025,64,91,Comedia dramática,Comedia,55,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",3,0,1,1.0,66.66666666666666
dc4edacf-b169-4b19-a0e0-0494316629e3,2025,2025,64,91,Drama,Drama,41,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",0,1,0,0.0,0.0
e69e8b7b-535c-40b6-9214-d6aee539965d,2025,2025,64,88,Comedia de época,Comedia,62,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",0,0,0,0.0,60.0
e70481a3-a984-4f2e-825f-79192e4eee13,2025,2025,64,96,ComediaAventuras,Comedia,60,NEG,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",0,0,0,0.0,16.666666666666664
6ccac4f0-51d8-4a54-871c-f69cb230d6b2,2025,2025,64,97,AventurasComedia de terrorMisterio,Comedia,97,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",1,3,1,0.25,60.0
f492ff7d-6f5c-4dcb-a59a-57394f5ee8b9,2025,2025,64,100,Drama romántico,Drama,92,NEG,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",0,5,0,0.0,44.44444444444444
b2d17e7e-b9b2-40ed-80fe-0b25c6a08e8d,2025,2025,64,97,Romance y drama,Drama,38,POS,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",2,1,1,0.6666666666666666,100.0
40a7e425-4a64-4f12-8024-c153c029b265,2025,2025,64,90,AcciónAventurasTerrorThriller,Suspenso,52,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",0,3,0,0.0,83.33333333333334
25288248-2864-42a0-b316-b238454aae8f,2025,2025,64,93,Drama biográfico,Drama,41,NEG,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",2,0,1,1.0,60.0
c248622d-7154-4e0e-9c67-210c01f33b22,2025,2025,64,125,Drama,Drama,75,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",3,3,1,0.5,66.66666666666666
